text,label
I’m glad this showed up in my recommendati,0
Nobody likes this.,1
लवड़ा,1
प्रेझेंटेशन ठीक आहे.,0
The topic is pretty relevant these days.,0
Kya bak raha hai.,1
Topic clear hai.,0
ये क्या देख लिया मैंने।,1
व्हिडिओ सामान्य आहे.,0
Explanation looks normal.,0
जानकारी सामान्य लेकिन ठीक है।,0
व्हिडिओ सामान्य आहे.,0
porn,1
वीडियो देखने में आसान है।,0
कितना बत्सुरत दीखता है,1
जानकारी साफ तरीके से दी गई है।,0
बेशरम,1
c*nt,1
b***shit,1
d**k,1
cunt,1
h*r*mkh*r,1
विषय स्पष्ट आहे.,0
Information appears basic.,0
Internet pe aake gyaan mat de.,1
ashleel,1
Explanation samajh me aaya.,0
You sound dumb as hell.,1
You should just quit.,1
विषय समझ में आता है।,0
मैं इस पर और जानकारी देखना चाहूँगा।,0
Topic clear ho gaya.,0
जानकारी समझ में आती है।,0
d*mbass,1
कंटेंट ठीक है।,0
भंगी,1
Stop yapping.,1
हरामखोर,1
Yeh topic kaafi log discuss kar rahe hain aajkal.,0
वीडियो का तरीका सरल है।,0
माहिती समजायला सोपी आहे.,0
इस पर और लोगों की राय जानना अच्छा होगा।,0
वीडियो ठीक लगता है।,0
Content basic hai.,0
विषय समजतो.,0
Some parts made more sense on the second watch.,0
The explanation seems reasonable.,0
Stop posting nonsense.,1
औकात में रह,1
Itni bakwas maine kabhi nahi dekhi.,1
माहिती स्पष्ट आहे.,0
Your content sucks.,1
idiot,1
jaheel aadmi,1
Bhai tu overacting kar raha hai.,1
bakchod,1
Who told you this was a good idea.,1
व्हिडिओ समजायला सोपा आहे.,0
Ye sab kya dekh liya maine.,1
Log is topic par alag-alag soch sakte hain.,0
यह विषय थोड़ा अलग लगा।,0
साला,1
वीडियो ठीक लगता है।,0
The information is simple.,0
r**di,1
butthead,1
व्हिडिओ पाहायला सोपा आहे.,0
You’re literally the problem with social media.,1
I can’t believe people like this exist.,1
Yeh sab bakchodi band kar.,1
बदमाश,1
वीडियो देखना आसान है।,0
नालायक,1
Video ka concept simple hai.,0
The topic looks understandable.,0
मूर्ख,1
प्रस्तुति साफ है।,0
sala,1
वीडियो ठीक है।,0
shut up,1
chaman,1
जानकारी स्पष्ट है।,0
Did you even think before posting?,1
प्रस्तुति साफ है।,0
Ye sab fake lag raha hai.,1
माहिती नीट आहे.,0
स्पष्टीकरण सोपे आहे.,0
thoda sudhar karayla pahije,1
प्रस्तुति साफ है।,0
The content appears informative.,0
It’s useful hearing different viewpoints.,0
Bhai bas attention chahiye tujhe.,1
विषय साफ है।,0
lavde,1
Content thik hai.,0
विषय स्पष्ट आहे.,0
बेहेनचोद,1
Ye kya nonsense hai.,1
व्हिडिओ सामान्य आहे.,0
Topic easy hai.,0
हा व्हिडिओ ठीक आहे.,0
वीडियो ठीक लगता है।,0
रंडी,1
The presentation is decent.,0
मुँह मत खोल,1
this is beyond ridiculous,1
Koi sense nahi hai isme.,1
gand,1
प्रेझेंटेशन चांगले आहे.,0
भड़वा,1
stupid move,1
Truly groundbreaking stupidity.,1
कमीना,1
झूठा,1
bhosadike,1
"Wow, another terrible opinion.",1
It’s interesting seeing how this is presented.,0
thoda effort kami padla,1
Matlab kuch bhi bolneka.,1
This might be the worst take today.,1
कंटेंट ठीक है।,0
Video thik hai.,0
हा व्हिडिओ बघून वेळ वाया गेला.,1
लंडचूस,1
बहनचोद,1
कंटेंट ठीक है।,0
तू स्वतःला खूप स्मार्ट समजतोस का.,1
लौड़ा,1
this is insanely bad thinking,1
motherfuc7cker,1
विषय ठीक से बताया गया है।,0
The explanation is easy to understand.,0
जानकारी ठीक है।,0
व्हिडिओ ठीक वाटतो.,0
Explanation easy hai.,0
this is absolute garbage behavior,1
bh**wa,1
Video normal hai.,0
व्हिडिओ सामान्य आहे.,0
Explanation easy hai.,0
Topic basic hai.,0
Bhai bas kar ab.,1
I see what you're saying here.,0
निकृष्ट इंसान,1
Tu bas embarrassment hai.,1
तुम्हारी बातों में कोई लॉजिक नहीं है।,1
This is wild levels of stupid.,1
प्रस्तुति साफ है।,0
हे बघून डोकं फिरलं.,1
Aise hi faltu gyaan mat de.,1
ये सब सुनकर सिर दर्द हो गया।,1
The comment about trends was interesting.,0
तुम बिल्कुल बेवकूफ लग रहे हो।,1
Stop embarrassing yourself.,1
This makes zero sense.,1
you are constantly messing up,1
tu ekdum disaster ahes,1
विषय समझ में आता है।,0
वीडियो सामान्य है।,0
Topic clear lagta hai.,0
bhai tu full bakchod nikla,1
प्रस्तुति ठीक है।,0
जानकारी समझने योग्य है।,0
हे बघून लोक हसत असतील.,1
Source : trust me bro,1
Content appears informative.,0
d*mb,1
f***k,1
चोदू कहीं का,1
b**ch,1
Kuch kaam dhanda nahi hai kya?,1
याबद्दल अजून माहिती पाहावी लागेल.,0
The information is easy to understand.,0
गांडफाड़,1
वीडियो सामान्य है।,0
tu pagal h kya,1
वीडियो साफ दिखाई दे रहा है।,0
विषय स्पष्ट है।,0
l*nd,1
This is fucking stupid.,1
काय बकवास बोलतोयस तू.,1
बन्दर क्या जाने अदरक का स्वाद,1
Aise bewakoof aur faltu log internet pe gyaan dete h,1
Explanation simple hai.,0
Aise hi bakwas post karta rehta hai.,1
negative soul,1
गाण्ड,1
pathetic,1
जाहिल,1
you are frustrating to watch,1
dick,1
cringe,1
हरामजादा,1
Content simple hai.,0
भडव्या,1
ये वीडियो सिर्फ समय की बर्बादी है।,1
This is ugly! Delete it,1
व्हिडिओ पाहायला ठीक आहे.,0
माहिती नीट आहे.,0
माहिती स्पष्ट आहे.,0
g**d,1
bh*sdike,1
विषय समझ में आता है।,0
Ye sab dekh ke second hand embarrassment ho raha hai.,1
dekh ke dimaag ghum gya,1
विषय समझ में आता है।,0
कंटेंट ठीक है।,0
koi login hai iss baat ka?,1
चोदू,1
विषय ठीक है।,0
वीडियो सामान्य है।,0
This topic doesn’t get discussed much.,0
Video normal hai.,0
Are you stupid or what.,1
I came across this video randomly.,0
वीडियो ठीक है।,0
कुत्ते का बच्चा,1
कुतिया,1
Pehle iske baare mein zyada nahi suna tha.,0
माहिती स्पष्ट आहे.,0
koi itna pagal kaise ho sakta,1
Tu bas negativity spread kar raha hai.,1
"काही गोष्टी समजल्या, काही अजून विचार करावा लागेल.",0
जानकारी सामान्य है।,0
st*pid,1
Ye sab mat post kar.,1
चूतिया,1
फालतू आदमी,1
This is comedy at this point.,1
Video normal hai.,0
कंटेंट ठीक है।,0
वीडियो साधारण लेकिन ठीक है।,0
वीडियो ठीक है।,0
I’m still thinking about some of the points mentioned.,0
bitch,1
कमीनी,1
attention chahiye,1
garbage,1
s**t,1
tu logon ko irritate karta rehta hai,1
clown,1
Video thik lagta hai.,0
माहिती सामान्य आहे.,0
विषय स्पष्ट है।,0
हा विषय आजकाल चर्चेत असतो.,0
चूतिये,1
Video thik hai.,0
बेवकूफ,1
यह वीडियो समझने में आसान है।,0
Bro is yapping again.,1
Bro is clueless.,1
The presentation looks normal.,0
g**du,1
Ye sab faltu content hai.,1
f**king,1
Bas kar.,1
The video topic is clear.,0
वीडियो ठीक लगता है।,0
माहिती साधी आहे.,0
tu bilkul dimaag se khali hai,1
बदतमीज़,1
कमीना इंसान,1
Bro really said that with confidence.,1
निकम्मा,1
pagal aadmi,1
हा व्हिडिओ माहिती देतो.,0
he kaam chalnar nahi asa vatat,1
Not the take you think it is.,1
tumne kuch effort nhi dala,1
ch*tiyapa,1
जानकारी समझ में आती है।,0
You can’t be serious.,1
The information seems accurate.,0
व्हिडिओची क्वालिटी ठीक आहे.,0
badmash,1
जानकारी सामान्य है।,0
Matlab kuch bhi.,1
घटिया,1
bastard,1
बेशर्म,1
वीडियो देखना आसान है।,0
Tera dimag ghaas charne gaya hai kya?,1
Content normal hai.,0
वीडियो देखना आसान है।,0
जानकारी उपयोगी लग रही है।,0
स्पष्टीकरण सोपे आहे.,0
जानकारी साफ है।,0
यह वीडियो अचानक सुझाया गया।,0
Explanation seems balanced.,0
जानकारी साफ है।,0
व्हिडिओ ठीक आहे.,0
st*u bro,1
विषय ठीक है।,0
a**hole,1
dumb,1
विषय स्पष्ट आहे.,0
he thoda off vatat,1
नालायक,1
total waste,1
Content is straightforward.,0
Explanation simple hai.,0
Content appears simple.,0
asa ka zala samjat nahi,1
This might be the worst content on this platform.,1
This is painfully stupid.,1
bewda,1
tu ekdum over irritating ahes,1
Explanation thik hai.,0
Bro thought he ate ,1
ये चैनल दिन-ब-दिन खराब हो रहा है।,1
स्पष्टीकरण स्पष्ट आहे.,0
घटिया औलाद,1
p*ssy,1
The video seems okay.,0
जानकारी सामान्य है।,0
tumhari thinking hi toxic hai,1
Your brain clearly stopped working.,1
Thanks for wasting my time.,1
you are not strong enough,1
The video is decent.,0
वीडियो देखने में आसान है।,0
Topic samajh aa gaya.,0
Explanation easy hai.,0
जानकारी साफ है।,0
कमेंट सेक्शन खराब करतोयस.,1
g*rbage,1
l*vda,1
तुम्हें पोस्ट करना बंद कर देना चाहिए।,1
jerk,1
nautanki,1
व्हिडिओ पाहायला सोपा आहे.,0
गधा,1
g*ndm*r,1
विषय समझ में आया।,0
You sound like a complete moron.,1
This is some dumb shit.,1
loser,1
कंटेंट ठीक है।,0
m*d*rchod,1
The video presentation is okay.,0
विषय स्पष्ट आहे.,0
moron,1
Topic clear hai.,0
psycho,1
ch*tia,1
विषय समझ में आता है।,0
muh mein le,1
Explanation is simple to follow.,0
Video ka flow normal hai.,0
अजून याबद्दल मत बनवलेलं नाही.,0
Content seems useful.,0
What is this garbage.,1
Explanation samajh aa gaya.,0
You thought you did something.,1
Stop posting trash like this,1
Ganda aadmi,1
What the hell is wrong with you?,1
b*henchod,1
The background music was noticeable.,0
ये सबसे बेकार बात है,1
भ*व्या,1
वीडियो ठीक है।,0
प्रस्तुति साफ है।,0
The concept is easy to follow.,0
जानकारी साफ है।,0
Video thik lag raha hai.,0
aisa ajeeb lag raha hai,1
वीडियो ठीक लगता है।,0
रंडी का बच्चा,1
The video seems decent.,0
s**la,1
The explanation looks clear.,0
वीडियो साधारण लेकिन ठीक है।,0
कंटेंट सामान्य है।,0
This is something people debate a lot.,0
tu lokanna disturb karto sagla time,1
The topic is easy to follow.,0
Bilkul bekaar.,1
विषय समझ में आता है।,0
लौड़े,1
तुला काही कळतं का नाही.,1
gand fat gyi,1
The topic looks understandable.,0
I’m curious what the next video will cover.,0
Are you actually this stupid or just pretending?,1
What the fuck did I just watch?,1
थोडं विचार करून बोलायला शीक.,1
ऐसा कंटेंट कौन देखेगा।,1
The video is easy to watch.,0
विषय साफ है।,0
Video ka audio clear hai.,0
बीच वाला हिस्सा ध्यान देने लायक था।,0
विषय स्पष्ट है।,0
kutta,1
जानकारी साफ है।,0
This is why the internet gets worse every day.,1
वीडियो देखना आसान है।,0
गांडचाटू,1
id*ot,1
समझना आसान लगा।,0
Got to see a slightly different perspective.,0
Kya bakchodi hai.,1
You must be trolling because no one can be this dumb.,1
कुतिया,1
I can't stand people like you.,1
Amazing how wrong you are.,1
The video is fine.,0
Amazing how confidently wrong you are.,1
Video ka style thoda alag tha.,0
besharam,1
Your content keeps getting worse.,1
tu completely useless mindset wala hai,1
जानकारी स्पष्ट है।,0
I lost brain cells watching this.,1
प्रस्तुति साफ है।,0
You’re annoying as hell.,1
Content normal hai.,0
गांडफाड़ू,1
aisa bakwaas behaviour unacceptable hai,1
tera sochne ka tareeka hi kharab hai,1
l**d,1
लंडखोर,1
attention whore,1
व्हिडिओ साधा आहे.,0
प्रस्तुति साफ है।,0
माहिती साधी आहे.,0
Thanks for lowering the IQ of the internet.,1
You clearly know nothing.,1
रंडीबाज़,1
Tu serious mein itna dumb hai kya.,1
Tu bas drama kar raha hai.,1
बेइज्जत,1
चुतिया,1
tum better kar sakte the,1
जानकारी सामान्य है।,0
Abey saale chup baith.,1
Imagine believing this.,1
कंटेंट ठीक लगता है।,0
Video informative lagta hai.,0
Koi nahi dekhna chahta ye sab.,1
g*ndu ins*n,1
Information is presented clearly.,0
कुत्ते की औलादें,1
Topic basic hai.,0
tu kharach useless aahes re,1
you have no sense at all,1
d*uche,1
Bro kya bakwas bol raha hai.,1
This ain’t the flex you think it is.,1
The visuals and narration match well.,0
Bro thought this would go hard ,1
प्रेझेंटेशन ठीक आहे.,0
Content easy hai.,0
कमीनी औरत,1
Concept simple hai.,0
गधे की औलाद,1
Kuch bhi bol raha hai tu.,1
lund,1
ये सब देखने के बाद अफसोस हो रहा है।,1
Video ka flow thik hai.,0
l*ser,1
कुत्ता,1
Shut up already.,1
st*u,1
The explanation seems clear.,0
Video ka explanation thik hai.,0
Video ka explanation clear hai.,0
The video format is simple.,0
The explanation looks fine.,0
कंटेंट सामान्य है।,0
Explanation seems understandable.,0
तुम्हारी सोच ही गलत है।,1
विषय समजतो.,0
हरामी,1
tapori,1
Content easy hai.,0
Overall the video looks okay.,0
ये वीडियो देखने लायक भी नहीं है।,1
Topic samajh aa gaya.,0
माहिती साधी आहे.,0
behenchod,1
Topic samajh aa gaya.,0
माहिती उपयोगी वाटते.,0
This is so cringe.,1
Stop acting smart.,1
you are extremely annoying,1
Nobody wants to see this garbage.,1
Concept clear lag raha hai.,0
dumb act,1
waste fellow,1
Video informative lagta hai.,0
tu saglyat worst aahes,1
कंटेंट ठीक लगता है।,0
Stop talking please.,1
This ain’t the flex you think it is.,1
he thoda disappointing ahe,1
Who let bro post.,1
time waste,1
जानकारी ठीक है।,0
The explanation looks normal.,0
nonsense,1
The explanation is normal.,0
माहिती नीट दिली आहे.,0
च्युत्या,1
Explanation is easy to follow.,0
जानकारी सामान्य है।,0
पूर्ण समजायला थोडा वेळ लागेल.,0
Absolute garbage.,1
ch*tiye,1
you are completely brainless,1
not very interesting,1
L take.,1
Bhai tu exaggerate kar raha hai.,1
The visuals helped explain the idea.,0
bhadwe,1
chutiya,1
Please tell me this is a joke.,1
विषय समझ में आया।,0
तू पोस्ट करणं बंद केलं पाहिजे.,1
Why do you keep posting.,1
Topic samajh aata hai.,0
nikamma,1
विषय स्पष्ट है।,0
You clearly have no idea what you’re talking about.,1
trash content,1
Cringe bhai.,1
sc*mbag,1
कचरा माणूस,1
जानकारी सामान्य है।,0
व्हिडिओ ठीक आहे.,0
गांड फट गई,1
bina matlab,1
The explanation is basic.,0
This gotta be satire.,1
चूत का चूहा,1
वीडियो ठीक लगता है।,0
हरामजादी,1
Dimag kharab ho gaya ye dekh ke.,1
जानकारी स्पष्ट है।,0
Explanation clear hai.,0
वीडियो का विषय समझ आया।,0
tu kahi hi sense nahi banavtos,1
जानकारी साफ है।,0
Nobody asked for your stupid opinion.,1
tu pura system hi bigaad deta hai,1
माहिती स्पष्ट वाटते.,0
गंदा आदमी,1
चूतिए,1
Content normal hai.,0
Topic clear hai.,0
Content simple lag raha hai.,0
Kya nonsense hai.,1
व्हिडिओ ठीक आहे.,0
तुझा कंटेंट दिवसेंदिवस खराब होत चाललाय.,1
Video informative hai.,0
The topic explanation is simple.,0
Content thik hai.,0
गांडचाट,1
Topic clear hai.,0
The editing style caught my attention.,0
वीडियो सामान्य है।,0
वीडियो देखना आसान है।,0
loser mentality,1
लौंडियाबाज़,1
प्रस्तुति साफ है।,0
madarchod,1
यह वीडियो सामान्य है।,0
haramkhor,1
The presentation style is simple.,0
Bakwas.,1
This is an L take fr.,1
Worst content I’ve seen today.,1
tu better karu shakla asta,1
itna ghatiya kaam kaise kar sakta hai,1
प्रेझेंटेशन ठीक आहे.,0
जानकारी साफ है।,0
ye thoda disappointing hai,1
Go to hell.,1
Topic samajh aa raha hai.,0
asshole,1
"Some parts were straightforward, others needed a pause.",0
तेरी माँ का भोसड़ा,1
व्हिडिओ पाहायला सोपा आहे.,0
मां की चूत,1
माहिती स्पष्ट आहे.,0
ढोंगी इंसान,1
फालतू,1
You are such an idiot.,1
तू पूर्णपणे मूर्ख दिसतोस.,1
जानकारी साफ तरीके से दी गई है।,0
"Looks disgusting, not even real",1
जानकारी समझने योग्य है।,0
Content thik hai.,0
Explanation thik se diya hai.,0
विषय समजतो.,0
विषय समझ में आता है।,0
Time waste kar diya.,1
crap,1
Cringe take.,1
I’m still forming an opinion on this.,0
लौंडेबाज़,1
tu strong nahi hai,1
Please use your brain.,1
जानकारी सामान्य है।,0
Ye bilkul bhi cool nahi hai.,1
The video explanation looks normal.,0
scumbag,1
ghatiya,1
Delete this bro.,1
Horrible take.,1
तुझे कुछ पता भी है?,1
I didn’t know about this before today.,0
बेकार,1
जानकारी सामान्य है।,0
माहिती सामान्य आहे.,0
चुदवा,1
जानकारी साफ है।,0
हा पोस्ट पूर्णपणे निरर्थक आहे.,1
बकचोद,1
यह वीडियो सामान्य है।,0
घटिया आदमी,1
motherfucker,1
Kya bakwas chal rha hai,1
You clearly failed basic education.,1
मादरचुद,1
Dimag hai ya nahi?,1
मधला उदाहरणाचा भाग लक्षात राहिला.,0
Video ka flow smooth hai.,0
Koi matlab hi nahi hai is video ka.,1
वीडियो का तरीका अच्छा है।,0
you are a walking mess,1
Bhai delete kar ye post.,1
भोसड़ी,1
The video explanation is decent.,0
वीडियो ठीक लगता है।,0
लुंड,1
This gotta be a joke.,1
माहिती नीट दिली आहे.,0
tr*sh,1
Topic samajhna easy hai.,0
this is painfully stupid,1
chomu,1
मैंने पहले इस बारे में नहीं सुना था।,0
kamina,1
Yeh sab kya faltu dalte hai log.,1
Embarrassing.,1
Explanation normal hai.,0
वीडियो ठीक लगता है।,0
प्रेझेंटेशन ठीक आहे.,0
Bro really thought he did something ,1
People like you ruin this platform.,1
tu saglyat jast irritating ahes,1
This is painful to watch.,1
Please delete this.,1
f***ing,1
The examples made the concept easier to understand,0
The video is simple and easy to understand.,0
कंटेंट समझ में आता है।,0
भोसड़ीके,1
attention ke bhookhe,1
I lost brain cells reading this.,1
Explanation seems normal.,0
समझाने का तरीका अच्छा है।,0
कंटेंट ठीक है।,0
व्हिडिओ समजायला सोपा आहे.,0
इतका वाईट कंटेंट कसा बनवला.,1
प्रेझेंटेशन साधे आहे.,0
Content looks informative.,0
लफंगा,1
वीडियो का तरीका अलग था।,0
bhai yeh off lag raha hai,1
over irritating,1
Bro stop already.,1
व्हिडिओ साधा आहे.,0
randi,1
bewakoofi,1
गचाळ,1
वीडियो सामान्य है।,0
Yeh video pura cringe hai.,1
Who let this clown post online?,1
जानकारी ठीक है।,0
The topic looks clear.,0
Explanation thik hai.,0
Content simple hai.,0
w*tf,1
Bro this is dumb af.,1
Ye reel pura time waste hai.,1
स्पष्टीकरण ठीक आहे.,0
वीडियो साफ दिखाई दे रहा है।,0
Bhai ye kya sun liya maine.,1
जानकारी साफ है।,0
tu full time nonsense karto,1
हा सगळा कंटेंट खूपच खराब आहे.,1
The video topic is simple.,0
You clearly don’t know what you’re doing.,1
इस विषय पर अलग-अलग राय हो सकती है।,0
Video normal hai.,0
you are impossible to deal with,1
This video seems informative.,0
Video ka presentation simple hai.,0
रंडीखाना,1
विषय समजतो.,0
tu ekdum annoying creature hai,1
उदाहरण से बात थोड़ी साफ हुई।,0
Ye kya bakchodi chal rahi hai.,1
dimag kharab,1
बावळट माणूस,1
tu har jagah problem create karta hai,1
याबद्दल आधी फारसं ऐकलं नव्हतं.,0
प्रस्तुति साफ है।,0
this is below expectation,1
mf,1
तुझा कंटेंट आता खूप वाईट झाला आहे.,1
dickhead,1
Ain’t no way you posted this.,1
यह विषय स्पष्ट है।,0
हा व्हिडिओ साधा आहे.,0
चूत के बाल,1
प्रस्तुति साफ है।,0
Content basic hai.,0
m*darch*d,1
Truly embarrassing.,1
stfu,1
b*llshit,1
d*mbtake,1
व्हिडिओ साधा आहे.,0
Your opinion means nothing.,1
Explanation thik hai.,0
जानकारी स्पष्ट है।,0
Video ka style thoda alag tha.,0
चुदाई,1
वीडियो सामान्य है।,0
स्पष्टीकरण स्पष्ट आहे.,0
माहिती साधी आहे.,0
This is fucking stupid.,1
ढोंगी,1
वीडियो देखना आसान है।,0
तेरी औकात क्या है,1
Go disappear from the internet.,1
विषय स्पष्ट है।,0
Itna stupid kaise ho sakta hai koi.,1
fuckboy,1
b**tard,1
यह विषय स्पष्ट है।,0
Bhai ye reel mat bana please.,1
Explanation simple hai.,0
pussy,1
tu ek numbercha bakwas manus ahes,1
कुत्ते की जात,1
जानकारी सामान्य है।,0
bhai tu ekdum disaster hai,1
tu limit cross kar raha hai,1
The concept is presented clearly.,0
प्रस्तुति साफ है।,0
विषय समझ में आया।,0
Kya bakwaas hai ye?,1
The video flow is simple.,0
L take.,1
माहिती नीट दिली आहे.,0
गंदा इंसान,1
समझने में कोई परेशानी नहीं हुई।,0
This is the most useless video ever.,1
बहनचुद,1
निकम्मा,1
Video ka style thoda alag tha.,0
ch**iya,1
The explanation is straightforward.,0
The video quality seems fine.,0
विषय ठीक है।,0
dogla,1
Bro stop yapping.,1
Content dekhne me easy hai.,0
Your content is shit.,1
वीडियो का तरीका सरल है।,0
Isme kaafi angles cover kiye gaye.,0
चुतियापा,1
व्हिडिओची मांडणी वेगळी होती.,0
Did you even think before posting this?,1
घटिया औकात,1
"कुछ बातें समझ आईं, कुछ पर अभी सोच रहा हूँ।",0
माहिती उपयोगी आहे.,0
समझाने का तरीका अच्छा है।,0
b*kc*od,1
Video quality looks fine.,0
साली,1
trash,1
Topic basic hai.,0
bekar,1
Tu post karna hi band kar de.,1
व्हिडिओ साधा आहे.,0
माहिती उपयोगी आहे.,0
Go learn something first.,1
Video informative hai.,0
This is embarrassing.,1
The video quality is normal.,0
Ye sab unnecessary rant hai.,1
tu ekdum failure type aahes,1
Stop the cap.,1
stupid,1
Video informative hai.,0
This post is trash.,1
This video is trash.,1
The concept explanation is basic.,0
विषय ठीक है।,0
This was different from what I expected.,0
p***y,1
annoying guy,1
tu kharach dokyacha problem aahes,1
chutiya hai kya?,1
Ye sab post karna band kar.,1
विषय समजतो.,0
विषय ठीक है।,0
gandmaar,1
कमीना,1
वीडियो देखना आसान है।,0
मुँह बंद रख,1
Just stop already.,1
s*la,1
वीडियो देखना आसान है।,0
That section around 3:20 was interesting.,0
यह विषय थोड़ा जटिल लगता है।,0
हरामखोर साला,1
g*ndchat,1
The video is understandable.,0
The information shared here is basic.,0
जानकारी सामान्य है।,0
The content flow is good.,0
Dumb post.,1
I hadn’t thought about it this way before.,0
video ka style thoda alag tha.,0
Everyone disagrees with you.,1
तू काही कामाचा नाहीस,1
यह मुद्दा आजकल काफी चर्चा में है।,0
विषय स्पष्ट आहे.,0
Explanation clear hai.,0
I’m impressed by how bad this is.,1
a**clown,1
Just watched this and taking it in.,0
विषय समझ में आया।,0
This account is annoying.,1
you make things worse always,1
The video explanation is simple.,0
you literally ruin everything,1
What the fuck did I just watch.,1
h*r*mi,1
कुणी हे का बघेल.,1
Ye content dekh ke mood kharab ho gaya.,1
you are full of nonsense,1
वीडियो की क्वालिटी ठीक है।,0
Topic easy lag raha hai.,0
जानकारी उपयोगी लग रही है।,0
कंटेंट समझ में आता है।,0
Every time you post it gets worse.,1
मादरचोद,1
This video looks fine.,0
प्रस्तुति ठीक है।,0
शेवटी सांगितलेला मुद्दा लक्षात आला.,0
Yeh sab chutiyapa hai.,1
This video sucks.,1
What a pathetic take.,1
g*ndu,1
b*tch,1
Congratulations on posting the dumbest thing today.,1
Ye sab dekh ke embarrassment ho raha hai.,1
The explanation looks okay.,0
nonsense stuff,1
व्हिडिओ ठीक आहे.,0
I’ll check the description for more info.,0
प्रस्तुति ठीक है।,0
The video seems informative.,0
tujha vichar kharach kharab ahe,1
तुम खुद को बहुत स्मार्ट समझते हो क्या।,1
लफंगा,1
The video format looks fine.,0
तुम बस बहस करने के लिए बोल रहे हो।,1
You’re embarrassing yourself.,1
L.,1
Content seems clear.,0
a**h*le,1
tujha attitude khup ganda ahe,1
this is next-level stupidity,1
Please never post again.,1
माहिती उपयोगी आहे.,0
Content thik lag raha hai.,0
this is somewhat disappointing,1
I’m not sure how I feel about this yet.,0
वीडियो ठीक लगता है।,0
लंड,1
प्रस्तुति साफ है।,0
This is beyond cringe.,1
internet loser,1
कंटेंट सामान्य है।,0
Content normal hai.,0
you ruin everything you touch,1
झव्या,1
Content simple hai.,0
चूतिया कहीं का,1
वीडियो देखना आसान लगा।,0
पागल,1
This channel is trash.,1
tu ekdum hopeless case hai,1
Your editing is terrible.,1
समझना आसान लगा।,0
कंटेंट ठीक है।,0
तेरी माँ की चूत,1
जानकारी ठीक लग रही है।,0
The topic seems basic.,0
fuck off,1
Video dekhne me easy hai.,0
चोदू आदमी,1
हा विषय थोडा वेगळा वाटला.,0
